id_instance,is_commented
3492_1,0
3492_3,0
3492_4,0
3492_6,0
3492_9,0
3492_10,0
3492_11,0
3492_13,0
3492_15,0
3492_17,1
3492_18,1
3492_20,1
3492_21,1
3492_22,1
3492_24,1
3492_26,1
3492_27,1
3492_28,1
3492_31,0
3492_33,0
3492_34,0
3492_35,0
3492_39,0
3493_1,0
3493_3,0
3493_4,0
3493_6,0
3493_9,0
3493_10,0
3493_11,0
3493_13,0
3493_15,0
3493_17,0
3493_18,0
3493_20,0
3493_21,0
3493_22,0
3493_24,0
3493_26,0
3493_27,0
3493_28,0
3493_31,1
3493_33,1
3493_34,1
3493_35,1
3493_39,0
3494_1,0
3494_3,0
3494_5,0
3494_6,0
3494_7,1
3494_25,0
3494_31,0
3495_1,0
3495_2,0
3495_3,0
3495_4,0
3495_5,0
3495_6,0
3495_7,0
3495_8,0
3495_9,0
3495_10,0
3495_11,0
3495_14,0
3495_15,0
3495_16,0
3495_17,0
3495_18,0
3495_19,0
3495_20,0
3495_23,0
3495_24,0
3495_27,0
3495_30,0
3495_31,0
3495_32,0
3495_33,0
3495_34,0
3495_35,0
3495_36,0
3495_39,0
3495_40,0
3495_41,0
3495_43,0
3495_44,0
3495_45,0
3495_47,0
3495_48,0
3495_49,0
3495_55,0
3495_58,0
3495_59,0
3495_61,0
3495_64,0
3495_66,0
3495_67,0
3495_68,0
3495_69,0
3495_70,0
3495_71,0
3495_72,0
3495_73,0
3495_74,0
3495_75,1
3495_76,1
3495_77,1
3495_78,0
3495_79,0
3495_83,0
3495_84,0
3495_85,0
3495_86,0
3495_88,0
3495_89,0
3496_1,0
3496_3,0
3496_4,0
3496_5,0
3496_6,0
3496_7,0
3496_8,0
3496_9,0
3496_10,0
3496_11,0
3496_12,0
3496_13,0
3496_14,0
3496_15,0
3496_16,0
3496_17,0
3496_18,0
3496_19,0
3496_20,0
3496_21,0
3496_22,0
3496_23,0
3496_24,0
3496_25,0
3496_26,0
3496_27,0
3496_28,0
3496_30,0
3496_31,0
3496_32,0
3496_33,0
3496_34,0
3496_35,0
3496_36,0
3496_37,0
3496_38,0
3496_41,0
3496_43,1
3496_44,1
3496_45,1
3496_46,1
2941_1,0
2941_4,0
2941_5,0
2941_6,0
2941_7,0
2941_8,0
2941_9,0
2941_10,0
2941_11,0
2941_12,0
2941_13,0
2941_16,0
2941_17,1
2941_18,1
2941_20,0
2941_21,0
2941_22,0
2941_23,0
2941_24,0
2941_25,0
2941_26,0
2942_1,0
2942_4,0
2942_5,0
2942_6,0
2942_7,0
2942_8,0
2942_9,0
2942_10,0
2942_11,0
2942_12,0
2942_13,0
2942_16,0
2942_17,0
2942_18,0
2942_20,0
2942_21,1
2942_22,0
2942_23,0
2942_24,0
2942_25,0
2942_26,0
2943_1,0
2943_2,0
2943_3,0
2943_5,1
2943_10,0
2943_11,0
2943_15,0
2943_19,0
2943_20,0
2943_21,0
2943_22,0
2943_23,0
2943_24,0
2943_25,0
2943_26,0
2943_27,0
2943_30,0
2943_31,0
2943_32,0
2943_33,0
2943_34,0
2943_35,0
2943_36,0
2943_37,0
2943_38,0
2943_39,0
2943_40,0
2943_43,0
2943_44,0
2943_45,0
2943_46,0
2943_47,0
2943_48,0
2943_49,0
2944_1,0
2944_2,0
2944_3,0
2944_5,0
2944_10,1
2944_11,1
2944_15,1
2944_19,0
2944_20,0
2944_21,0
2944_22,0
2944_23,0
2944_24,0
2944_25,0
2944_26,0
2944_27,0
2944_30,0
2944_31,0
2944_32,0
2944_33,0
2944_34,0
2944_35,0
2944_36,0
2944_37,0
2944_38,0
2944_39,0
2944_40,0
2944_43,0
2944_44,0
2944_45,0
2944_46,0
2944_47,0
2944_48,0
2944_49,0
2945_1,0
2945_2,0
2945_3,0
2945_4,0
2945_5,0
2945_8,0
2945_10,0
2945_12,0
2945_13,0
2945_14,0
2945_15,0
2945_16,0
2945_17,0
2945_18,0
2945_19,0
2945_24,0
2945_25,0
2945_31,0
2945_32,0
2945_37,0
2945_38,0
2945_40,1
2945_41,1
2945_42,1
2945_43,1
2945_44,1
2945_46,0
2945_47,0
2945_48,0
2945_49,0
2945_50,0
2945_51,0
2945_55,0
2945_56,0
2945_57,0
2945_59,0
2945_60,0
2945_61,0
2945_64,0
2945_65,0
2945_67,0
2945_68,0
2945_69,0
2945_70,0
2945_71,0
2945_72,0
2945_73,0
2945_74,0
2945_75,0
2945_76,0
2945_78,0
2945_79,0
2945_80,0
2945_81,0
2945_82,0
2945_84,0
2946_1,0
2946_2,0
2946_3,0
2946_4,0
2946_5,0
2946_8,0
2946_10,0
2946_12,0
2946_13,0
2946_14,0
2946_15,0
2946_16,0
2946_17,0
2946_18,0
2946_19,0
2946_24,0
2946_25,0
2946_31,0
2946_32,0
2946_37,0
2946_38,0
2946_40,0
2946_41,0
2946_42,0
2946_43,0
2946_44,0
2946_46,1
2946_47,1
2946_48,1
2946_49,1
2946_50,1
2946_51,1
2946_55,0
2946_56,0
2946_57,0
2946_59,0
2946_60,0
2946_61,0
2946_64,0
2946_65,0
2946_67,0
2946_68,0
2946_69,0
2946_70,0
2946_71,0
2946_72,0
2946_73,0
2946_74,0
2946_75,0
2946_76,0
2946_78,0
2946_79,0
2946_80,0
2946_81,0
2946_82,0
2946_84,0
2947_1,0
2947_2,0
2947_3,0
2947_4,0
2947_5,0
2947_8,0
2947_10,0
2947_12,0
2947_13,0
2947_14,0
2947_15,0
2947_16,0
2947_17,0
2947_18,0
2947_19,0
2947_24,0
2947_25,0
2947_31,0
2947_32,0
2947_37,0
2947_38,0
2947_40,0
2947_41,0
2947_42,0
2947_43,0
2947_44,0
2947_46,0
2947_47,0
2947_48,0
2947_49,0
2947_50,0
2947_51,0
2947_55,0
2947_56,0
2947_57,0
2947_59,1
2947_60,1
2947_61,1
2947_64,0
2947_65,0
2947_67,0
2947_68,0
2947_69,0
2947_70,0
2947_71,0
2947_72,0
2947_73,0
2947_74,0
2947_75,0
2947_76,0
2947_78,0
2947_79,0
2947_80,0
2947_81,0
2947_82,0
2947_84,0
2948_1,0
2948_2,0
2948_3,0
2948_4,0
2948_5,0
2948_8,0
2948_10,0
2948_12,0
2948_13,0
2948_14,0
2948_15,0
2948_16,0
2948_17,0
2948_18,0
2948_19,0
2948_24,0
2948_25,0
2948_31,0
2948_32,0
2948_37,0
2948_38,0
2948_40,0
2948_41,0
2948_42,0
2948_43,0
2948_44,0
2948_46,0
2948_47,0
2948_48,0
2948_49,0
2948_50,0
2948_51,0
2948_55,0
2948_56,0
2948_57,0
2948_59,0
2948_60,0
2948_61,0
2948_64,1
2948_65,1
2948_67,0
2948_68,0
2948_69,0
2948_70,0
2948_71,0
2948_72,0
2948_73,0
2948_74,0
2948_75,0
2948_76,0
2948_78,0
2948_79,0
2948_80,0
